小美人鱼2
你是我的世界  You are my world
好 塞巴斯丁 你必须保持冷静  All right, Sebastian, you must remain calm.
这不是你的错  This is not your fault.
你现在只要好好的进去 冷静的解释说  All you have to do is go in there and calmly explain
美莉缇离家出走了  that Melody has run away.
你没有必要失去理智  No reason to lose your head.
不管你做什么 只要完完全全 绝绝对对  Whatever you do, you "absitively, " "positutely"
千万不要惊慌  must not panic.
美莉缇  Melody
美莉缇跑了 美莉缇跑了…     塞巴斯丁 你在这里做什么？  Melody's gone, Melody's gone     Sebastian? What are you doing here?
这全是我的错 我试着阻止她  All my fault I tried to stop her
我根本不配活下去  I don't deserve to live
跑了？跑去哪里？  Gone? Gone where?
出去 出去…  Out, out.
到海里  To the sea.
你是什么意思？ 她会跑哪里去了呢？  What do you mean? Where could she be going?
去莫吉娜那儿  To Morgana's.
她可以告诉我这项链的意思  And she can tell me what this locket means,
为什么有我的名字  why it has my name on it?
当然了 孩子  Oh, sure, kid.
莫吉娜最行了 只有她能帮你  Morgana's the best. She'll help ya.
好 那你带我去  Okay. Then let's go.
小可爱 来见见独一无二的…  Angel face, meet the one and only
莫吉娜  Morgana.
我的宝贝 欢迎啊  Oh, welcome, my precious.
不必害羞  Oh, don't be shy.
进来 进来 外头太冷了  Come in. Come in out of the cold.
坐 坐  Sit, sit.
把你的脚放上来  Put your feet up.
饿不饿啊 恐怕我这里只有冷盘而已  Hungry? Afraid all I have is a cold plate.
鱼冰棒 海草薯片  Smelt  cicle? Kelp chip?
孔雀鱼饺  Hush guppy?
不 谢了  Uh, no, thank you.
我希望你能告诉我这项链的事  I was hoping you could tell me about this pendant,
为什么会有我的名字  why it has my name on it.
我… 妈不肯告诉我  My mother wouldn't tell me.
她就是没有办法了解  She just doesn't understand.
妈妈不能了解孩子心里 想什么的人 不是只有你  Oh, you're not the only one with a mother who doesn't understand you.
相信我 我非常了解你的感受  Believe me, I know just how you feel.
亲爱的孩子 你有没有想过 这坠子上面有你的名字  Dear child, did you ever consider that it has your name on it
是因为这里面有你的命运  because it has your destiny in it?
我知道 你从小就怀疑  Oh, deep down you know you weren't meant to be
你不该只是个人类  a lowly human.
你的本质比那个… 迷人的多了  What you are is something far more enchanting.
人鱼吗？  A mermaid?
但那是不可能的  But it's not possible.
怎么会 什么事都有可能  Darling, anything's possible.
你可以把我变成一只人鱼  You can turn me into a mermaid?
这只是小事一桩  Piece of fish cake, honey.
看运气了  Lotsa luck.
乌苏拉的魔药 你从哪儿弄来的  Ursula's magic? Where'd you get that?
我一直保留着 等特殊场合用  I've been saving it for a special occasion.
只要一滴这个 然后巴搭宾巴搭碰  One drop of this and, bada  bing, bada  boom
你就成了美人鱼了  You're in fin city Whee
真的啊     来 亲爱的  Really?     Come, my darling.
你的命运正在等着你  Your destiny awaits you.
我真不敢相信  I don't believe it
我是只美人鱼  I'm a mermaid.
大声的说 骄傲的说  Say it loud, say it proud
我是只美人鱼  I'm a mermaid
你一直有这个魔药  You had this all along.
你可以把我变回去的 我应该…  You could've changed me back. Why, I oughta...
你给我冷静一点  Keep your scales on, small fry.
我得先赢得她的信任  I'm still reeling her in.
爸爸 我实在好担心  Oh, Daddy, I'm so worried.
艾莉儿 一切都会没事  Everything's going to be all right, Ariel.
我们已经派人在大海里搜寻  We have search parties scouring the ocean.
我现在也要亲自加入搜索  I'm going to join them now myself.
艾莉儿 也许… 你该跟爸爸去  Ariel, maybe you should go with him.
但是亚力克…  But, Eric...
我需要待在这儿 指挥陆地上的搜索  I need to stay here and lead the search on land.
但你了解水域  But you know these waters,
你也了解我们的女儿  and you know our daughter.
你必须要去  You have to go.
这会很危险  It may be dangerous.
亚力克说得对  Eric's right, Daddy.
我早该知道 无法让美莉缇远离大海  I should've known I couldn't keep Melody from the sea.
那是她的一部份  It's a part of her.
也是我的一部份  And a part of me.
我必须走了  I have to go.
把她带回来  Bring her home.
好棒好酷的感觉哦  What a totally cool feeling
对不起 真是对不起  Oh, excuse me. I'm so sorry, ma'am.
好吧 再一次只要多一些练习  Okay, get a grip Get the hang of this flipper
就像两只脚穿一双特大号拖鞋  It's like slipping two feet into one big, huge slipper
这边往左 那边往右  This way is left Which way is right
这样下去一定没有结果  Oh, now I'll be circling in circles all night
原来是向前 没问题  Oh, so this is forward. No problem.
从没想过我也能这么做  I can't believe I can do this and more
在海里游泳竟是如此快乐  To swim in the sea like I walk on the shore
我已决定不再封闭自我  Out of my shell Not closed up like a clam
往前冲  Look out, sea This is me
去寻觅新世界  Here I am
这一瞬间我愿意  For a moment all of me
就在大海里自由来去  Is alive and at home in the sea
我优雅的旋转 我不停转圈  I'm swirling and twirling So graceful and grand
不会再搁浅 没有任何危险  Not stubbing my toes Getting stuck in the sand
这一瞬间海最酷  For a moment life is cool
让我梦想能尽情演出  I'm a splash in the world's biggest pool
没有任何拦阻 只有高声欢呼  This is more than my thoughts ever thought it could be
这一瞬间 这一瞬间到永远  For a moment Just a moment
我好幸运啊  Lucky me
如果有那么一刻  If only for one moment
与你分享我的喜忧  I had shared with you all I know
大海就不再那么神秘  The sea wouldn't be a mystery
