超人总动员2
很简单    很简单啊  Easy.    Easy, huh?
你可真可爱  You're adorable.
反正如果真的有问题  Well, if there is a problem,
我就随时赶过来好了  I'll drop this thing and come right back.
完全没必要  You won't need to.
我来搞定 你尽管去工作是了  I got it, you go do this thing.
认真工作  Do it so...
虽然我做得更好  I can do it better.
我是文斯顿  Deavor here.
我是弹力女超人  This is Elastigirl.
我同意了  I'm in.
文斯顿先生 真的谢谢你  Mr. Deavor, it's wonderful...
可是这也太破费了  but it's too generous.
哪里哪里 这点小事不足挂齿  Nonsense! That's the least we can do.
我们现在是合作伙伴  We're partners now!
怎么能让你们住在汽车旅馆里  Can't have my partners living in a motel.
可是这是谁的房子  But whose house? Is it a house?
是我的房子 我有好几套  It's my house. I have several.
那套平时也没人住 你们尽管住就是了  I'm not using that one. Stay as long as you need.
我都不知道说什么好了  I don't know what to say.
我建议你说 谢谢  How about "thanks"?
这就是我们的新家  This is our new house?
好了 别太激动 是借给我们住  Okay, easy, tiger. It's being loaned to us.
这还真舒适 豪华  This is homey.
快看这地方 真棒  Look at this place.
文斯顿买下这里之前 别墅的主人  Deavor bought it from an eccentric billionaire...
是一个不喜欢暴露行踪的亿万富翁  who liked to come and go without being seen...
所以房子里有好几个秘密出口  so the house has multiple hidden exits.
真是一个不显眼的别墅  Good thing we won't stand out.
住在这 我们肯定不会再乱七八糟的人给盯上了  Wouldn't want to attract any unnecessary attention.
这个院子真大啊  It's got a big yard!
这是不是有点太夸张了  Isn't this a bit much?
旁边还有森林  Near a forest!
难道你更愿意住汽车旅馆  Would you rather be at the motel?
还有泳池  And a pool!
妈妈的新工作到底是做什么的  What exactly is Mom's new job?
重要的事我们不用在住旅馆  The important thing is we're out of the motel.
我喜欢妈妈的新工作  I like Mom's new job!
你看看别墅里还有瀑布  Well, check out the water features.
哇  Oh!    Wow.
真是太酷了  Wicked cool!
小飞别玩了  Hey! Dash! Stop it!
别把沙发毁了 住手    住手 小飞  Not the couch! Stop it!    No! Dash!
停下  Stop!
别乱按按钮    沙发进水了  Don't touch the buttons!    The couch!
小飞    不  Dash!    No!
不 不  No, no!
我的天  Oh, no. Oh, boy.
这 是我吗  This isn't me.
怎么这衣服是暗黑风格的  I'm not all dark and angsty.
我是弹力女超人  I'm Elastigirl.
应该是很灵活的  I'm, you know, flexible.
是伊芙琳设计的  E designed this?
不 是个叫亚历山大·盖尔巴奇的人  No, some guy named Alexander Galbaki.
幸好是你穿不是我  Glad it's you and not me,
因为莫衣娜肯定会来找你  'cause you're gonna hear from her.
这张纸条也是给你的  This note came with it.
什么  What?
居然是新的弹力摩托车  A new Elasticycle.
弹力摩托车 我真不知道你还会骑摩托车  Elasticycle? I didn't know you had a bike.
我有段时间莫西干发型呢  Hey, I had a mohawk.
有的是你不知道的  There's a lot about me you don't know.
莫西干发型  Yeah, but... A mohawk?
啊 也没什么大不了的  Ah, you didn't miss anything.
这辆车是电动的  Oh, yeah! This one's electric.
什么意思  What's that mean?    Whoa, whoa, whoa, whoa.
就是扭矩大了点 我能驾驭的住的  Means it's torque  y. I'll get the hang of it.
你一定会很棒的  You will be great.
我当然会很棒 你也会很棒  I will be great. And you will, too.
我们俩都很棒  We will both be great.
再见 亲爱的  Bye, sweetie.
等一下  Wait a minute!
那是弹力女超人吗    我觉得那是弹力女超人  Is that Elastigirl?    I think that's Elastigirl.
嘿 弹力女超人  Hey! Elastigirl!
我喜欢你 弹力女超人  Marry me, Elastigirl!
弹力女超人来了  ♪ Here comes Elastigirl ♪
弹力弹弹弹  ♪ Stretching her ♪
别唱歌了  No theme songs
要不然我就掉头回家  or I'll turn this bus right around!
看看窗外的景色  Look at that.
这里是新城  New Urbem.
想要记录下打击犯罪的大新闻  You wanna make a big crime fighting statement...
就要去犯罪率最高的地方  you go where the crime is big.
你因为犯罪率高感到兴奋这也太奇怪了 文斯顿  Strange thing to be excited about, Winston.
这里简直是让超人施展拳脚的最佳场所  It's like a superhero's playground!
我在家就不许吃糖球  No Sugar Bombs on my watch.
妈妈在哪  Where's Mom?
她出门上班了  She's up and out.
今天是弹力女超人上班的第一天  She's at her new job doing hero work.
我觉得 现在法律还是规定不许使用超能力吧  But I thought superheroes were still illegal.
没错 是暂时的  They are, for now.
所以妈妈是拿着工资 在做违法的事  So Mom is getting paid to break the law?
