淘宝店： 智美教育  整理
总不能什么都不做啊    We gotta do something.
我同意 我们应该采取行动    I'm with her. Time for some action.
我们不应该乱跑    We're doing this all wrong.
蓝妹妹    Smurfette!
我离你很近了 笨笨   就在你旁边    I'm close, clumsy.   Almost there.
只是回音在作怪罢了    That's just the echo playing tricks on us.
有人吗 我在这里    Anybody? I'm here.
我就在拐角这边    I'm here right around this corner.
嘿 伙计们    Hey, everybody?
我的光要用完了    My light is going out.
我受够了 我看只能武力解决了    That is it! I'm punching us out of here.
塌方了    It's collapsing.
健健 你想害死我们吗 快把拳头收回去    Hefty! Put those fists away before you get us killed!
但至少我努力过    At least I'm trying something.
我来实施爆破    I'm gonna blow us out of here! No!
真棒   别    Oh, yeah!   Don't!
太晚了    Too late!
笨笨    Clumsy?
嘿 蓝妹妹   笨笨    Hey, smurfette.   Clumsy!
等等 我来了 笨笨大兄弟    Hang on. I'm coming, clumsy bro.
我抓住你了 小家伙    I got you, little buddy.
超速了    Stampede!
我感觉我快吐了    I think my rations are coming up.
怎么了 有什么好笑的    What? What's so funny?
我把这称之为"用屁股说话"    Now, that's what I call "Talking out of your butt."
哦 伙计们    Oh, boys.
有人对出现在我们视野内的    Would anyone be interested in knowing
三棵大树感兴趣吗    that we're in sight of three tall trees?
好吧   有    All right.   Yeah, we are.
有兔子在我们的速度也快了    And bucky is gonna get us there extra fast.
快快兔   在我看来叫快快兔正好    Bucky? Seems like a bucky to me.
快跑 快快兔    Hit it, bucky!
蓝妹妹    Smurfette?
你不要说话 我先听我说    Before you say anything, just listen.
我知道昨天我可能    Now, I know yesterday I might have been
对你和男孩们有点过分    a bit tough on you and the boys,
有时候我的保护欲会有点强    and I know there are times I'm a little overprotective.
好吧 我太过于护犊子了    Okay, a lot overprotective.
但是你们要理解 你们不能就那么溜出去    But you have to understand, you snuck out.
行事需谨慎才对    You have to be more careful.
蓝妹妹 我知道你可能没意识到    Smurfette, I know lately you may not realize,
是我说的不够清楚 但是你    and I may not say it enough, but you are...
你是我的阳光    You shine.
那么无论怎么说 我们和好吧    So, anyway, we're smurfy?
我想你和男孩们在屋子里呆的够久了    I think you and the boys have been grounded long enough.
蓝妹妹    Smurfette?
好吧 我开门了    Okay. I'm opening the door.
我现在想进来和你再聊聊    And I'm walking in to talk more.
你在吗    You there?
蓝妹妹    Smurfette.
健健    Hefty!
聪聪    Brainy!
笨笨 这扮相才太不走心了吧    Clumsy! Oh, that's not even convincing.
等我找到这些蓝精灵    When I find those smurfs,
